Column Values,Ambiguity0,Ambiguity1,Ambiguity2,Ambiguity3
0,,1,,1
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
1,1,,1,
0,,0,,
1,0,,,
0,,1,,0
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
1,1,,1,
0,,0,,
1,0,,,
0,,1,,0
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
0,,1,,1
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
1,1,,1,
0,,0,,
1,0,,,
0,,1,,0
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
1,1,,1,
0,,0,,
1,0,,,
0,,1,,0
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
0,,1,,1
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
1,1,,1,
0,,0,,
1,0,,,
0,,1,,0
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
0,,1,,1
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
1,1,,1,
0,,0,,
1,0,,,
0,,1,,0
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
1,1,,1,
0,,0,,
1,0,,,
0,,1,,0
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
0,,1,,1
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
1,1,,1,
0,,0,,
1,0,,,
0,,1,,0
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
1,1,,1,
0,,0,,
1,0,,,
0,,1,,0
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
0,,1,,1
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
1,1,,1,
0,,0,,
1,0,,,
0,,1,,0
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
0,,1,,1
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
1,1,,1,
0,,0,,
1,0,,,
0,,1,,0
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
1,1,,1,
0,,0,,
1,0,,,
0,,1,,0
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
0,,1,,1
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
1,1,,1,
0,,0,,
1,0,,,
0,,1,,0
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
0,,1,,1
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
1,1,,1,
0,,0,,
1,0,,,
0,,1,,0
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
1,1,,1,
0,,0,,
1,0,,,
0,,1,,0
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
0,,1,,1
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
1,1,,1,
0,,0,,
1,0,,,
0,,1,,0
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
1,1,,1,
0,,0,,
1,0,,,
0,,1,,0
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
0,,1,,1
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
1,1,,1,
0,,0,,
1,0,,,
0,,1,,0
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
0,,1,,1
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
1,1,,1,
0,,0,,
1,0,,,
0,,1,,0
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
1,1,,1,
0,,0,,
1,0,,,
0,,1,,0
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
0,,1,,1
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
1,1,,1,
0,,0,,
1,0,,,
0,,1,,0
1,0,,,
1,1,,0,
0,,0,,
1,0,,,
